50.71,79.18,0
49.46,80.22,0
49.76,78.99,0
49.63,80.53,0
49.89,80.41,0
49.79,80.73,0
50.70,81.09,0
49.45,80.73,0
50.30,80.81,0
49.43,80.32,0
50.57,79.47,0
50.01,78.93,0
49.87,80.87,0
49.82,78.87,0
50.17,79.84,0
50.69,79.48,0
50.16,80.94,0
50.27,78.95,0
50.64,80.44,0
49.35,79.48,0
49.85,80.30,0
50.56,79.32,0
50.24,80.86,0
49.99,80.78,0
50.23,80.20,0
50.67,79.67,0
49.29,80.94,0
50.45,80.13,0
49.43,80.58,0
50.40,81.13,0
49.69,79.75,0
50.60,79.95,0
49.91,78.80,0
49.26,80.25,0
49.70,79.03,0
49.39,80.58,0
50.64,80.54,0
50.26,80.45,0
49.88,80.56,0
49.58,80.70,0
47.50,84.80,0
45.13,89.89,0
42.87,95.28,1
40.73,101.00,1
38.69,107.06,1
36.75,113.48,1
34.92,120.29,1
33.17,127.51,1
31.51,135.16,1
29.94,143.27,1
