49.45,79.25,0
50.17,80.34,0
50.72,80.03,0
50.74,80.00,0
50.05,79.06,0
49.64,80.14,0
49.77,80.16,0
49.96,80.68,0
49.79,79.09,0
50.05,81.16,0
50.64,79.63,0
49.96,81.17,0
49.25,79.00,0
49.95,79.02,0
49.72,79.79,0
50.30,81.06,0
50.69,79.27,0
49.79,80.86,0
49.71,79.86,0
50.64,80.56,0
50.16,79.15,0
50.33,78.88,0
49.87,79.36,0
50.19,81.05,0
49.37,79.12,0
50.24,79.82,0
49.54,81.03,0
50.51,79.25,0
49.65,79.62,0
50.18,79.74,0
49.53,80.59,0
50.49,80.67,0
49.81,81.18,0
50.45,79.38,0
50.74,79.67,0
50.68,81.00,0
50.04,81.11,0
50.50,80.89,0
50.29,80.52,0
49.37,80.78,0
50.00,80.55,0
50.11,80.86,0
50.19,81.02,0
49.64,80.67,0
49.97,78.89,0
50.65,80.90,0
49.60,80.04,0
50.08,80.77,0
49.88,80.07,0
49.59,79.01,0
50.07,79.32,0
49.67,80.43,0
49.86,79.64,0
49.87,81.05,0
49.98,78.85,0
50.73,79.31,0
49.50,79.64,0
49.62,79.92,0
50.74,79.22,0
49.25,79.65,0
50.03,79.84,0
49.52,79.01,0
50.40,79.82,0
49.69,79.59,0
49.99,79.35,0
50.05,79.80,0
49.31,80.24,0
49.32,80.62,0
49.82,78.92,0
49.64,80.37,0
50.37,79.72,0
49.48,80.72,0
50.63,80.83,0
49.87,80.14,0
50.63,80.81,0
47.50,84.80,0
45.13,89.89,0
42.87,95.28,1
40.73,101.00,1
38.69,107.06,1
36.75,113.48,1
34.92,120.29,1
33.17,127.51,1
31.51,135.16,1
29.94,143.27,1
28.44,151.86,1
27.02,160.98,1
25.67,170.63,1
24.38,180.87,1
23.16,191.72,1
22.01,203.23,1
20.91,215.42,1
19.86,228.35,1
18.87,242.05,1
