49.35,80.92,0
50.13,79.46,0
50.50,79.51,0
50.48,79.04,0
50.48,79.28,0
49.85,79.60,0
49.76,80.58,0
49.80,80.26,0
49.39,80.97,0
49.70,81.05,0
49.59,79.79,0
50.40,79.39,0
49.48,79.49,0
50.33,79.11,0
50.45,79.28,0
49.59,79.20,0
49.31,78.98,0
50.50,79.11,0
49.92,79.15,0
49.44,81.18,0
49.96,79.35,0
50.05,80.24,0
50.67,81.08,0
49.99,80.78,0
50.08,79.54,0
49.35,78.98,0
50.05,79.30,0
49.30,79.16,0
49.54,79.76,0
49.46,80.63,0
50.71,80.47,0
50.21,79.37,0
49.48,79.50,0
47.50,84.80,0
45.13,89.89,0
42.87,95.28,1
40.73,101.00,1
38.69,107.06,1
36.75,113.48,1
34.92,120.29,1
33.17,127.51,1
31.51,135.16,1
29.94,143.27,1
28.44,151.86,1
27.02,160.98,1
25.67,170.63,1
24.38,180.87,1
23.16,191.72,1
22.01,203.23,1
20.91,215.42,1
